COSTOS BARATERO ,,,,
CONS.,C.B.A,DESCRIPCIÓN,UNIDAD DE MEDIDA, PRECIO UNITARIO 
FRUTAS Y VERDURAS ,480 302 2200 00,Flor de calabaza,KILO,
FRUTAS Y VERDURAS ,480 303 0101 00,Germinado de alfalfa,KILO,
FRUTAS Y VERDURAS ,480 303 0102 00,Germinado de soya,KILO,
FRUTAS Y VERDURAS ,480 302 2301 00,Haba verde s/vaina,KILO,
FRUTAS Y VERDURAS ,480 805 0400 00,Hoja de aguacate (fresca de 1000 g),KILO,
FRUTAS Y VERDURAS ,480 805 0500 00,Hoja de plátano (fresca de 1000 g),KILO,
FRUTAS Y VERDURAS ,480 802 0700 00,Jengibre en raíz entera (1000 g),KILO,
FRUTAS Y VERDURAS ,480 302 2401 00,Jitomate bola ,KILO,
FRUTAS Y VERDURAS ,480 302 2402 00,Jitomate guaje o guajiro,KILO,
FRUTAS Y VERDURAS ,480 302 2502 00,Lechuga romana,KILO,
FRUTAS Y VERDURAS ,480 302 2501 00,Lechuga orejona ,KILO,
FRUTAS Y VERDURAS ,480 302 2800 00,Nopal,KILO,
FRUTAS Y VERDURAS ,480 302 2901 00,Papa amarilla,KILO,
FRUTAS Y VERDURAS ,480 302 2902 00,Papa blanca grande,KILO,
FRUTAS Y VERDURAS ,480 302 2903 00,Papa cambray,KILO,
FRUTAS Y VERDURAS ,480 302 3000 00,Pepino grande,KILO,
FRUTAS Y VERDURAS ,480 302 3100 00,Pimiento morrón fresco,KILO,
FRUTAS Y VERDURAS ,480 302 3300 00,Quelite,KILO,
FRUTAS Y VERDURAS ,480 302 3401 00,Rábano chico,KILO,
FRUTAS Y VERDURAS ,480 302 3500 00,Romeritos,KILO,
FRUTAS Y VERDURAS ,480 302 3600 00,Tomate verde grande y limpio,KILO,
FRUTAS Y VERDURAS ,480 302 3700 00,Verdolaga,KILO,
FRUTAS Y VERDURAS ,480 302 3800 00,Xoconostle,KILO,
FRUTAS Y VERDURAS ,480 302 3900 00,Zanahoria grande ,KILO,
PAN Y TORTILLA ,480 406 1200 01,"Pan blanco (60 g) (bolillo, telera, pambazo, cemita)",PIEZA,
PAN Y TORTILLA ,480 406 1300 01,Pan blanco de caja (640 g / 23 reb),PAQUETE DE 640 g,
PAN Y TORTILLA ,480 406 1400 00,Pan bollo (hamburguesa) (450 g / 8 pzs),PAQUETE C/8 PIEZAS,
PAN Y TORTILLA ,480 406 2100 01,"Pan dulce de pasta fermentada (40 g) (cuernitos, dona, panqué, concha, trenza, cocol, besos)",PIEZA,
PAN Y TORTILLA ,480 406 2101 00,Pan dulce integral de pasta fermentada (30 g),PIEZA,
PAN Y TORTILLA ,480 406 1500 01,Pan integral de caja (750 g 24 reb),PAQUETE DE 750 g,
PAN Y TORTILLA ,480 406 1700 01,Pan medias noches (680 g/ 16 pzs),PAQUETE DE C/16 PIEZAS,
PAN Y TORTILLA ,480 406 1800 00,Pan molido (1000 g),KILO,
