CLAVE,CLAVE ALTERNA,DESCRIPCION,SERVICIO (S/N),INV_MIN,INV_MAX,PRECIO COMPRA,PRECIO 1,PRECIO 2,MAYOREO 2,PRECIO 3,MAYOREO 3,PRECIO 4,MAYOREO 4,EXIST.,PESO,CARACTERISTICAS,DEPARTAMENTO,CATEGORIA,RECETA (S/N),GRANEL (S/N),IMPUESTO (S/N),IMP IEPS 8(S/N),IMP IEPS 30(S/N),IMP ISR 1.25(S/N),IMP IEPS 28.52(S/N),IMP IVA(S/N),IMP Imp.Loc.Tra.IE 4.5(S/N),IMP IEPS 26.55(S/N),IMP IEPS 6(S/N),IMP ISR 1.25(S/N),IMP IVA(S/N)
7501000111800,1210,PAN TOSTADO BIMBO CLASICO 210 GR,false,0,0,28.220,31.042000,32.453000,0.000,0.000000,0.000,0.000000,0.000,1207.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,S,N,N,N,N,N,N,N,N,N,N,N
7500810036624,1211,TORTILLINA TIA ROSA  382.5 GR C/15PZA,false,0,0,20.750,22.825000,23.862500,0.000,0.000000,0.000,0.000000,0.000,2728.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7500810042328,1212,TORTILLA P/BURRITO TIA ROSA 580 GR,false,0,0,0.000,49.500000,51.750000,0.000,0.000000,0.000,0.000000,0.000,-25.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
1216,,AZUCAR ESTANDAR 1KG GRANEL,false,0,0,20.400,22.440000,23.460000,0.000,0.000000,0.000,0.000000,0.000,16544.0057,0.0000,,SIN DEFINIR,SIN DEFINIR,N,S,N,N,N,N,N,N,N,N,N,N,N
11848124001,1217,VINAGRE MANZANA 1 LT LA ANITA,false,0,0,16.315,18.700000,19.550000,0.000,0.000000,0.000,0.000000,0.000,9.0000,0.0000,,RACK 1,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
36,1218,LECHE  LALA  DESLACTOSADA 1 LT,false,0,0,28.714,31.585576,33.021284,0.000,0.000000,0.000,0.000000,0.000,1247.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501020565942,1219,LECHE  LALA LIGHT 1 LT BAJA EN GRASA,false,0,0,27.107,29.817326,31.172659,0.000,0.000000,0.000,0.000000,0.000,527.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7503000555172,1220,HUEVO BLANCO SAN JUAN C/30 PZA,false,0,0,62.800,69.080000,72.220000,0.000,67.824000,0.000,0.000000,0.000,2481.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501020565935,1221,LECHE  LALA ENTERA 1 LT,false,0,0,27.107,29.817326,31.172659,0.000,0.000000,0.000,0.000000,0.000,729.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
1222,,QUESO DOBLE CREMA CAOBANAL,false,0,0,115.000,126.500000,132.250000,0.000,124.200000,0.000,0.000000,0.000,868.5000,0.0000,,FRIOS,QUESO,N,S,N,N,N,N,N,N,N,N,N,N,N
1223,,QUESO OAXACA CAOBANAL,false,0,0,115.000,126.500000,132.250000,0.000,0.000000,0.000,0.000000,0.000,1015.1500,0.0000,,FRIOS,QUESO,N,S,N,N,N,N,N,N,N,N,N,N,N
1224,,QUESO PANELA CAOBANAL,false,0,0,115.000,126.500000,132.250000,0.000,0.000000,0.000,0.000000,0.000,419.5000,0.0000,,FRIOS,QUESO,N,S,N,N,N,N,N,N,N,N,N,N,N
7500478018192,1229,SALADITAS GAMESA 504  GR C/42 PZA,false,0,0,48.450,53.295000,55.717500,0.000,0.000000,0.000,0.000000,0.000,401.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501052472133,1230,CATSUP CLEMENTE J 970 GR,false,0,0,35.785,39.363500,41.152750,0.000,0.000000,0.000,0.000000,0.000,584.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501000131440,1232,PAN BIMBO DOBLE CERO 610 GR,false,0,0,72.000,79.200000,82.800000,0.000,0.000000,0.000,0.000000,0.000,259.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501003337627,1233,CANELA MOLIDA 63GR MCCORMICK,false,0,0,39.590,43.549000,45.528500,0.000,0.000000,0.000,0.000000,0.000,436.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7502251520038,1234,HARINA SOL DE ORO 1 KG,false,0,0,13.770,15.147000,15.835500,0.000,0.000000,0.000,0.000000,0.000,1204.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
1235,,REFRESCO SIDRAL MUNDET FRESA KIWI 2L,false,0,0,172.410,23.706380,24.783940,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7501058628503,1236,SALSA DE SOYA MAGGI 140ML,false,0,0,24.000,26.400000,27.600000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,RACK 2,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
24,,GELARTINA UVA,false,0,0,909.900,1000.890000,1046.385000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,SIN DEFINIR,HERRAMIENTAS,N,N,N,N,N,N,N,N,N,N,N,N,N
7501001604318,1244,SALSA INGLESA CROSSE & BLACKWELL 145 ML,false,0,0,29.668,32.635240,34.118660,0.000,0.000000,0.000,0.000000,0.000,74.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501005106979,1248,MAIZENA SABOR VAINILLA SOBRE 47 GR,false,0,0,11.324,12.456499,13.022704,0.000,0.000000,0.000,0.000000,0.000,5528.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501005110563,1250,MAIZENA NATURAL 750 GR,false,0,0,98.000,107.800000,112.700000,0.000,105.840000,0.000,0.000000,0.000,-13.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501017003020,1255,CHILE RAJAS LA COSTEÑA 820 GR,false,0,0,32.743,36.017663,37.654830,0.000,0.000000,0.000,0.000000,0.000,693.0000,0.0000,,RACK 2,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
1256,,SALSA INGLESA FRASCO 290 ML,false,0,0,56.703,62.700000,65.550000,0.000,0.000000,0.000,0.000000,0.000,12.0000,0.0000,,RACK 2,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501017051298,1257,ENSALADA CAMPESINA COSTEÑA 220 GR,false,0,0,9.979,10.977076,11.476034,0.000,0.000000,0.000,0.000000,0.000,315.0000,0.0000,,ABARROTES,RACK 3,N,N,N,N,N,N,N,N,N,N,N,N,N
7501003150233,1259,MOLE DOÑA MARIA 235 GR,false,0,0,41.105,45.215951,47.271222,0.000,0.000000,0.000,0.000000,0.000,331.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
452785,1263,BARRA BRAN FRUT FRESA 24 PZAS DE 40 G,false,0,0,169.000,185.900000,194.350000,0.000,0.000000,0.000,0.000000,0.000,1068.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7506306322455,1264,Caldo de pollo Knorr 420 g,false,0,0,124.216,138.974000,145.291000,0.000,0.000000,0.000,0.000000,0.000,-3.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501017050536,1265,PIMIENTO MORRON LA COSTEÑA 200 GR,false,0,0,19.926,21.918413,22.914705,0.000,0.000000,0.000,0.000000,0.000,2547.0000,0.0000,,RACK 2,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501146010388,1266,TOTOPOS CHARRICOS 280 GR,false,0,0,31.600,34.760000,36.340000,0.000,0.000000,0.000,0.000000,0.000,39.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501017003358,1268,COCTEL DE FRUTA LA COSTEÑA 850  GR,false,0,0,59.448,65.393163,68.365580,0.000,0.000000,0.000,0.000000,0.000,2427.0000,0.0000,,RACK 2,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
1280,,BOLSA PLANA STD NAT 25X35,false,0,0,50.860,55.946000,58.489000,0.000,54.928800,0.000,0.000000,0.000,-162.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7501219111028,1283,PLATO No. 2 C/25 PZA PRIMO,false,0,0,822.410,22.616280,23.644290,0.000,0.000000,0.000,0.000000,0.000,-387.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7503019013953,1284,CUCHARA CHICA C/50 PZAS,false,0,0,10.778,11.855690,12.394585,0.000,0.000000,0.000,0.000000,0.000,940.0000,0.0000,,RACK 4,DESECHABLES,N,N,S,N,N,N,N,N,N,N,N,N,N
